cod;nome;período;homicidios-mulheres;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-nao-negros;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-homens;homicidios-mulheres-negras;homicidios-homens-nao-negros;homicidios-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios;homicidios-mulheres-nao-negras;homicidios-negros
33;RJ;2005;507.0;201;4177.0;2443.0;4385.0;329.0;5427.0;3974;6885.0;273.0;2238.0;5978;3496.0;7408.0;204.0;4658.0
35;SP;2005;776.0;340;4719.0;5087.0;3474.0;367.0;454.0;4379;8091.0;260.0;4575.0;5796;3415.0;8870.0;512.0;3734.0
41;PR;2005;239.0;100;1658.0;2279.0;589.0;121.0;2895.0;1558;2738.0;50.0;2094.0;2027;1303.0;2977.0;185.0;639.0
42;SC;2005;68.0;27;322.0;476.0;88.0;33.0;319.0;295;564.0;6.0;422.0;392;231.0;633.0;54.0;94.0
43;RS;2005;209.0;77;1034.0;1601.0;385.0;114.0;359.0;957;1812.0;22.0;1415.0;1473;836.0;2021.0;186.0;407.0
50;MS;2005;70.0;30;308.0;268.0;316.0;26.0;3312.0;278;561.0;31.0;230.0;345;195.0;631.0;38.0;347.0
51;MT;2005;89.0;34;407.0;265.0;579.0;32.0;507.0;373;815.0;51.0;227.0;487;265.0;907.0;38.0;631.0
52;GO;2005;133.0;54;830.0;408.0;920.0;52.0;945.0;776;1334.0;83.0;361.0;937;619.0;1468.0;46.0;1003.0
43;RS;2006;162.0;56;980.0;1585.0;351.0;83.0;352.0;924;1821.0;30.0;1457.0;1425;787.0;1983.0;128.0;381.0
11;RO;2006;51.0;23;257.0;145.0;386.0;25.0;356.0;234;531.0;31.0;125.0;383;189.0;585.0;19.0;418.0
12;AC;2006;15.0;4;85.0;42.0;94.0;2.0;48.0;81;143.0;8.0;36.0;50;23.0;158.0;6.0;102.0
13;AM;2006;53.0;26;428.0;95.0;551.0;22.0;1223.0;402;646.0;33.0;77.0;379;237.0;699.0;18.0;584.0
14;RR;2006;13.0;5;46.0;43.0;64.0;3.0;1342.0;41;96.0;3.0;31.0;38;18.0;111.0;10.0;67.0
15;PA;2006;140.0;55;1185.0;160.0;1749.0;71.0;388.0;1130;1930.0;118.0;139.0;1295;771.0;2073.0;21.0;1867.0
16;AP;2006;13.0;3;128.0;14.0;176.0;0.0;35.0;125;189.0;10.0;11.0;75;49.0;202.0;3.0;186.0
17;TO;2006;22.0;8;121.0;38.0;171.0;6.0;402.0;113;207.0;18.0;34.0;85;50.0;229.0;4.0;189.0
21;MA;2006;67.0;30;527.0;143.0;753.0;24.0;285.0;497;902.0;58.0;135.0;479;256.0;969.0;8.0;811.0
22;PI;2006;32.0;19;240.0;51.0;329.0;11.0;5460.0;221;386.0;28.0;47.0;192;116.0;418.0;4.0;357.0
23;CE;2006;134.0;51;941.0;165.0;907.0;43.0;79.0;890;1658.0;65.0;148.0;1060;642.0;1792.0;17.0;972.0
24;RN;2006;42.0;15;234.0;81.0;291.0;21.0;2085.0;219;413.0;27.0;71.0;306;175.0;455.0;10.0;318.0
25;PB;2006;62.0;24;458.0;47.0;648.0;39.0;2269.0;434;762.0;49.0;38.0;628;373.0;825.0;9.0;697.0
26;PE;2006;310.0;137;2616.0;388.0;3632.0;197.0;1194.0;2479;4162.0;261.0;351.0;3592;2226.0;4472.0;37.0;3893.0
27;AL;2006;106.0;55;980.0;68.0;1012.0;64.0;357.0;925;1514.0;66.0;62.0;1308;823.0;1620.0;6.0;1078.0
28;SE;2006;40.0;18;334.0;85.0;384.0;15.0;913.0;316;545.0;22.0;76.0;403;243.0;585.0;9.0;406.0
29;BA;2006;243.0;123;1947.0;204.0;2624.0;131.0;75.0;1824;3065.0;197.0;183.0;2402;1561.0;3311.0;21.0;2821.0
31;MG;2006;392.0;186;2408.0;1242.0;2520.0;204.0;1244.0;2220;3783.0;238.0;1103.0;3075;1990.0;4177.0;138.0;2759.0
32;ES;2006;183.0;78;982.0;255.0;1008.0;100.0;181.0;904;1578.0;103.0;211.0;1294;787.0;1762.0;44.0;1111.0
33;RJ;2006;504.0;196;4076.0;2436.0;4339.0;319.0;5370.0;3880;6858.0;267.0;2217.0;5790;3347.0;7389.0;219.0;4611.0
35;SP;2006;788.0;346;4285.0;4846.0;3121.0;387.0;474.0;3939;7582.0;242.0;4315.0;5761;3285.0;8377.0;530.0;3364.0
41;PR;2006;249.0;118;1706.0;2531.0;474.0;140.0;2870.0;1588;2839.0;48.0;2326.0;2229;1361.0;3098.0;196.0;522.0
42;SC;2006;92.0;31;321.0;509.0;78.0;34.0;353.0;290;574.0;15.0;439.0;386;226.0;666.0;70.0;93.0
50;MS;2006;55.0;20;315.0;294.0;342.0;17.0;3395.0;295;627.0;24.0;265.0;370;215.0;683.0;29.0;366.0
51;MT;2006;70.0;33;427.0;241.0;605.0;22.0;589.0;394;825.0;42.0;212.0;497;282.0;896.0;28.0;647.0
52;GO;2006;143.0;59;825.0;381.0;985.0;69.0;1017.0;766;1364.0;91.0;332.0;984;602.0;1509.0;48.0;1076.0
53;DF;2006;49.0;25;399.0;79.0;537.0;33.0;455.0;374;611.0;39.0;70.0;435;305.0;660.0;9.0;576.0
52;GO;2007;139.0;60;849.0;392.0;970.0;73.0;1181.0;789;1382.0;82.0;341.0;1009;643.0;1521.0;51.0;1052.0
11;RO;2007;28.0;10;210.0;102.0;285.0;9.0;312.0;200;404.0;20.0;94.0;321;164.0;432.0;8.0;305.0
12;AC;2007;18.0;8;72.0;34.0;82.0;4.0;47.0;64;119.0;9.0;26.0;51;30.0;137.0;8.0;91.0
13;AM;2007;52.0;28;433.0;45.0;605.0;25.0;1327.0;405;663.0;43.0;38.0;415;265.0;715.0;7.0;648.0
14;RR;2007;19.0;3;47.0;28.0;75.0;2.0;1559.0;44;97.0;10.0;20.0;28;12.0;116.0;8.0;85.0
15;PA;2007;144.0;66;1263.0;190.0;1841.0;58.0;329.0;1197;2049.0;112.0;164.0;1385;859.0;2194.0;26.0;1953.0
16;AP;2007;12.0;7;114.0;21.0;132.0;5.0;26.0;107;160.0;8.0;17.0;60;40.0;172.0;4.0;140.0
17;TO;2007;28.0;11;94.0;31.0;164.0;8.0;488.0;83;196.0;26.0;29.0;88;33.0;226.0;2.0;191.0
21;MA;2007;63.0;31;623.0;157.0;911.0;23.0;415.0;592;1063.0;50.0;144.0;602;353.0;1127.0;13.0;962.0
22;PI;2007;35.0;12;186.0;59.0;285.0;15.0;4824.0;174;346.0;24.0;50.0;184;103.0;383.0;9.0;310.0
23;CE;2007;126.0;50;1066.0;213.0;1283.0;43.0;80.0;1016;1806.0;84.0;185.0;1224;758.0;1933.0;27.0;1367.0
24;RN;2007;42.0;20;314.0;95.0;399.0;23.0;2150.0;294;547.0;25.0;84.0;438;249.0;589.0;11.0;424.0
25;PB;2007;69.0;29;461.0;40.0;704.0;42.0;2565.0;432;793.0;55.0;32.0;656;372.0;864.0;8.0;759.0
26;PE;2007;290.0;139;2698.0;282.0;3790.0;192.0;1252.0;2558;4262.0;241.0;246.0;3706;2310.0;4557.0;36.0;4032.0
27;AL;2007;109.0;56;1102.0;76.0;1179.0;74.0;390.0;1046;1727.0;68.0;65.0;1552;959.0;1836.0;11.0;1247.0
28;SE;2007;34.0;12;294.0;75.0;350.0;19.0;936.0;282;488.0;21.0;66.0;348;211.0;522.0;9.0;371.0
29;BA;2007;249.0;124;2160.0;260.0;2909.0;133.0;55.0;2036;3408.0;207.0;233.0;2700;1770.0;3659.0;27.0;3116.0
31;MG;2007;403.0;176;2344.0;1161.0;2528.0;218.0;1478.0;2168;3722.0;248.0;1030.0;2983;1914.0;4125.0;131.0;2776.0
32;ES;2007;186.0;79;1008.0;277.0;1081.0;111.0;169.0;929;1691.0;116.0;245.0;1363;823.0;1877.0;32.0;1197.0
33;RJ;2007;416.0;167;3652.0;2071.0;3952.0;272.0;3859.0;3485;6121.0;216.0;1883.0;5102;2967.0;6551.0;187.0;4169.0
35;SP;2007;595.0;267;3135.0;3711.0;2417.0;291.0;507.0;2868;5834.0;185.0;3315.0;4150;2267.0;6437.0;396.0;2602.0
41;PR;2007;241.0;110;1760.0;2414.0;575.0;134.0;2765.0;1650;2860.0;41.0;2220.0;2285;1450.0;3105.0;193.0;617.0
42;SC;2007;70.0;34;328.0;510.0;88.0;21.0;371.0;292;560.0;6.0;450.0;377;233.0;632.0;60.0;94.0
53;DF;2007;55.0;22;431.0;107.0;550.0;28.0;579.0;409;656.0;41.0;94.0;516;352.0;711.0;13.0;591.0
43;RS;2007;193.0;81;1137.0;1735.0;411.0;100.0;356.0;1056;2003.0;29.0;1574.0;1661;939.0;2199.0;161.0;440.0
50;MS;2007;67.0;28;340.0;314.0;341.0;29.0;3511.0;312;641.0;28.0;274.0;401;222.0;710.0;39.0;369.0
51;MT;2007;95.0;34;368.0;271.0;561.0;35.0;613.0;334;794.0;54.0;230.0;542;248.0;889.0;41.0;615.0
26;PE;2008;298.0;135;2621.0;433.0;3641.0;166.0;1370.0;2482;4140.0;245.0;387.0;3449;2158.0;4446.0;45.0;3888.0
25;PB;2008;87.0;30;561.0;50.0;852.0;49.0;3620.0;531;942.0;76.0;42.0;750;447.0;1029.0;8.0;928.0
24;RN;2008;59.0;29;402.0;100.0;510.0;36.0;2366.0;373;655.0;48.0;93.0;536;326.0;714.0;7.0;558.0
23;CE;2008;117.0;42;1131.0;194.0;1303.0;48.0;88.0;1089;1902.0;74.0;176.0;1332;803.0;2019.0;18.0;1377.0
22;PI;2008;38.0;16;187.0;52.0;268.0;8.0;4108.0;171;323.0;31.0;46.0;159;90.0;361.0;6.0;299.0
21;MA;2008;81.0;37;714.0;156.0;1030.0;25.0;500.0;677;1196.0;67.0;144.0;698;408.0;1277.0;12.0;1097.0
17;TO;2008;21.0;11;122.0;41.0;177.0;10.0;541.0;111;216.0;17.0;37.0;98;55.0;237.0;4.0;194.0
16;AP;2008;13.0;4;141.0;6.0;183.0;3.0;27.0;137;196.0;13.0;6.0;65;46.0;210.0;0.0;196.0
15;PA;2008;169.0;82;1635.0;213.0;2445.0;89.0;357.0;1553;2687.0;139.0;186.0;1929;1160.0;2860.0;27.0;2585.0
14;RR;2008;15.0;3;38.0;28.0;69.0;2.0;1683.0;35;90.0;5.0;19.0;29;9.0;105.0;9.0;74.0
13;AM;2008;63.0;26;481.0;47.0;711.0;20.0;1837.0;455;767.0;56.0;40.0;446;287.0;830.0;7.0;767.0
12;AC;2008;13.0;5;76.0;23.0;69.0;0.0;40.0;71;120.0;5.0;18.0;40;27.0;133.0;5.0;74.0
11;RO;2008;39.0;15;210.0;136.0;298.0;17.0;269.0;195;440.0;20.0;120.0;286;136.0;480.0;16.0;319.0
53;DF;2008;64.0;35;492.0;105.0;644.0;38.0;673.0;457;748.0;57.0;98.0;579;390.0;812.0;7.0;701.0
52;GO;2008;160.0;57;971.0;413.0;1204.0;82.0;1284.0;914;1629.0;104.0;364.0;1201;739.0;1792.0;49.0;1309.0
51;MT;2008;86.0;38;428.0;238.0;630.0;36.0;701.0;390;851.0;57.0;211.0;572;291.0;937.0;27.0;687.0
50;MS;2008;60.0;27;345.0;312.0;339.0;22.0;3277.0;318;639.0;22.0;274.0;392;229.0;699.0;38.0;361.0
43;RS;2008;219.0;83;1199.0;1869.0;439.0;118.0;461.0;1116;2161.0;32.0;1685.0;1801;1011.0;2380.0;184.0;471.0
42;SC;2008;86.0;32;406.0;674.0;100.0;43.0;370.0;373;715.0;8.0;600.0;505;302.0;802.0;74.0;108.0
41;PR;2008;306.0;137;1914.0;2660.0;640.0;168.0;2580.0;1777;3132.0;55.0;2413.0;2540;1591.0;3445.0;244.0;695.0
35;SP;2008;667.0;242;2948.0;3715.0;2265.0;292.0;536.0;2706;5660.0;199.0;3263.0;3891;2027.0;6332.0;451.0;2464.0
33;RJ;2008;373.0;158;3092.0;1777.0;3365.0;219.0;3598.0;2934;5274.0;223.0;1644.0;4336;2442.0;5662.0;133.0;3593.0
32;ES;2008;190.0;89;1113.0;264.0;1123.0;124.0;151.0;1024;1756.0;129.0;234.0;1495;937.0;1947.0;30.0;1252.0
31;MG;2008;377.0;190;2204.0;1071.0;2407.0;174.0;1541.0;2014;3511.0;221.0;938.0;2755;1764.0;3889.0;133.0;2628.0
29;BA;2008;315.0;161;2994.0;345.0;3876.0;193.0;61.0;2833;4485.0;260.0;311.0;3828;2547.0;4819.0;34.0;4137.0
28;SE;2008;30.0;15;313.0;73.0;383.0;11.0;1117.0;298;525.0;21.0;65.0;368;235.0;555.0;8.0;404.0
27;AL;2008;83.0;41;1142.0;58.0;1465.0;55.0;426.0;1101;1804.0;71.0;55.0;1596;1018.0;1887.0;3.0;1536.0
35;SP;2009;660.0;248;2940.0;3799.0;2385.0;235.0;528.0;2692;5882.0;230.0;3382.0;3851;1974.0;6557.0;413.0;2618.0
41;PR;2009;331.0;158;2078.0;2972.0;619.0;199.0;2406.0;1920;3361.0;57.0;2698.0;2673;1672.0;3698.0;274.0;677.0
42;SC;2009;93.0;38;429.0;687.0;107.0;39.0;401.0;391;726.0;8.0;605.0;511;312.0;820.0;82.0;115.0
43;RS;2009;225.0;101;1081.0;1775.0;409.0;126.0;471.0;980;2017.0;36.0;1589.0;1645;858.0;2242.0;186.0;445.0
50;MS;2009;65.0;26;354.0;316.0;374.0;28.0;2931.0;328;660.0;25.0;276.0;429;244.0;725.0;40.0;399.0
51;MT;2009;94.0;44;469.0;247.0;682.0;44.0;951.0;425;905.0;55.0;209.0;573;309.0;1000.0;38.0;738.0
52;GO;2009;165.0;62;977.0;410.0;1327.0;76.0;1441.0;915;1733.0;117.0;365.0;1260;740.0;1902.0;45.0;1446.0
53;DF;2009;76.0;36;523.0;119.0;692.0;43.0;753.0;487;806.0;61.0;105.0;666;450.0;882.0;14.0;753.0
21;MA;2009;87.0;38;775.0;161.0;1143.0;32.0;590.0;737;1311.0;67.0;142.0;785;458.0;1398.0;19.0;1210.0
22;PI;2009;31.0;12;205.0;56.0;296.0;14.0;3805.0;193;354.0;22.0;49.0;184;117.0;385.0;7.0;318.0
23;CE;2009;138.0;64;1196.0;191.0;1280.0;68.0;116.0;1130;2025.0;80.0;166.0;1511;917.0;2165.0;25.0;1360.0
24;RN;2009;57.0;21;455.0;132.0;574.0;30.0;2470.0;434;743.0;38.0;115.0;620;379.0;800.0;17.0;612.0
11;RO;2009;51.0;23;231.0;142.0;338.0;28.0;325.0;208;486.0;35.0;127.0;353;172.0;538.0;15.0;373.0
12;AC;2009;16.0;6;78.0;16.0;97.0;2.0;59.0;72;137.0;6.0;10.0;61;33.0;153.0;6.0;103.0
13;AM;2009;67.0;21;540.0;44.0;786.0;28.0;1953.0;519;849.0;60.0;37.0;572;359.0;916.0;7.0;846.0
14;RR;2009;24.0;9;52.0;37.0;66.0;4.0;1519.0;43;94.0;12.0;26.0;27;13.0;118.0;11.0;78.0
15;PA;2009;180.0;82;1717.0;213.0;2558.0;84.0;435.0;1635;2802.0;152.0;189.0;2038;1242.0;2989.0;23.0;2711.0
16;AP;2009;12.0;4;108.0;11.0;158.0;3.0;23.0;104;178.0;10.0;9.0;69;43.0;190.0;2.0;168.0
17;TO;2009;31.0;15;135.0;55.0;208.0;12.0;623.0;120;258.0;23.0;47.0;128;64.0;289.0;8.0;231.0
25;PB;2009;98.0;50;710.0;51.0;1069.0;67.0;4136.0;660;1164.0;84.0;41.0;1019;608.0;1263.0;10.0;1153.0
26;PE;2009;304.0;145;2281.0;370.0;3208.0;186.0;1418.0;2136;3656.0;252.0;328.0;3117;1939.0;3963.0;42.0;3460.0
27;AL;2009;111.0;55;1115.0;48.0;1499.0;81.0;544.0;1060;1762.0;96.0;46.0;1560;969.0;1873.0;2.0;1595.0
28;SE;2009;36.0;13;324.0;74.0;454.0;16.0;1183.0;311;617.0;21.0;65.0;451;244.0;653.0;9.0;475.0
29;BA;2009;345.0;151;3427.0;333.0;4455.0;220.0;66.0;3276;5078.0;284.0;301.0;4361;2971.0;5432.0;32.0;4741.0
31;MG;2009;402.0;168;2062.0;1055.0;2261.0;197.0;1479.0;1894;3340.0;246.0;923.0;2603;1646.0;3742.0;132.0;2507.0
32;ES;2009;216.0;107;1164.0;251.0;1215.0;130.0;170.0;1057;1769.0;152.0;219.0;1548;974.0;1985.0;32.0;1367.0
33;RJ;2009;350.0;137;2841.0;1684.0;3237.0;199.0;3606.0;2704;5000.0;190.0;1538.0;4009;2205.0;5365.0;145.0;3430.0
33;RJ;2010;339.0;132;3020.0;1738.0;3484.0;191.0;3233.0;2888;5310.0;196.0;1610.0;4111;2261.0;5667.0;128.0;3684.0
53;DF;2010;66.0;32;452.0;100.0;630.0;42.0;785.0;420;720.0;50.0;85.0;576;379.0;786.0;15.0;680.0
52;GO;2010;182.0;85;1088.0;397.0;1403.0;80.0;1954.0;1003;1795.0;128.0;349.0;1317;803.0;1979.0;48.0;1533.0
51;MT;2010;80.0;28;462.0;243.0;667.0;27.0;1129.0;434;890.0;54.0;217.0;566;310.0;972.0;26.0;722.0
50;MS;2010;76.0;25;292.0;271.0;336.0;21.0;2497.0;267;579.0;38.0;238.0;344;186.0;656.0;33.0;374.0
43;RS;2010;227.0;92;983.0;1623.0;398.0;119.0;441.0;891;1856.0;38.0;1438.0;1496;787.0;2085.0;185.0;436.0
42;SC;2010;110.0;42;380.0;673.0;114.0;42.0;322.0;338;712.0;15.0;578.0;483;255.0;823.0;94.0;129.0
41;PR;2010;338.0;165;1970.0;2871.0;619.0;189.0;2259.0;1805;3248.0;51.0;2588.0;2630;1621.0;3586.0;283.0;670.0
11;RO;2010;37.0;10;226.0;142.0;364.0;17.0;333.0;216;508.0;23.0;131.0;351;162.0;546.0;11.0;388.0
12;AC;2010;19.0;7;74.0;28.0;83.0;7.0;56.0;67;146.0;13.0;25.0;63;34.0;165.0;3.0;96.0
13;AM;2010;65.0;32;634.0;76.0;920.0;28.0;2373.0;602;1017.0;60.0;71.0;635;405.0;1082.0;5.0;980.0
14;RR;2010;11.0;7;52.0;13.0;93.0;2.0;1376.0;45;110.0;9.0;11.0;29;12.0;121.0;2.0;102.0
15;PA;2010;231.0;115;1935.0;266.0;2998.0;126.0;434.0;1819;3286.0;197.0;236.0;2502;1469.0;3521.0;30.0;3198.0
16;AP;2010;16.0;4;168.0;28.0;191.0;5.0;27.0;164;244.0;14.0;26.0;103;72.0;260.0;2.0;205.0
17;TO;2010;34.0;18;178.0;41.0;250.0;9.0;534.0;160;293.0;30.0;38.0;131;68.0;327.0;3.0;280.0
21;MA;2010;117.0;52;837.0;151.0;1242.0;42.0;578.0;785;1402.0;99.0;133.0;827;480.0;1519.0;18.0;1341.0
22;PI;2010;40.0;11;195.0;55.0;299.0;16.0;3912.0;184;371.0;28.0;45.0;207;115.0;411.0;10.0;327.0
23;CE;2010;173.0;62;1494.0;299.0;1600.0;103.0;122.0;1432;2515.0;111.0;272.0;2057;1219.0;2688.0;27.0;1711.0
24;RN;2010;71.0;31;439.0;111.0;582.0;33.0;2441.0;408;739.0;51.0;98.0;611;349.0;810.0;13.0;633.0
25;PB;2010;119.0;52;834.0;56.0;1227.0;79.0;4201.0;782;1336.0;98.0;48.0;1208;733.0;1455.0;8.0;1325.0
26;PE;2010;247.0;119;1977.0;257.0;2803.0;152.0;1265.0;1858;3226.0;197.0;228.0;2649;1612.0;3473.0;29.0;3000.0
27;AL;2010;137.0;64;1287.0;48.0;1592.0;88.0;607.0;1223;1950.0;104.0;42.0;1721;1118.0;2087.0;6.0;1696.0
28;SE;2010;43.0;19;351.0;58.0;533.0;18.0;1237.0;332;633.0;36.0;52.0;452;264.0;676.0;6.0;569.0
29;BA;2010;438.0;214;3571.0;374.0;4781.0;235.0;98.0;3357;5398.0;361.0;332.0;4439;2938.0;5844.0;42.0;5145.0
31;MG;2010;409.0;184;1956.0;938.0;2256.0;197.0;1633.0;1772;3236.0;259.0;797.0;2456;1523.0;3646.0;141.0;2515.0
32;ES;2010;174.0;79;1036.0;265.0;1171.0;94.0;191.0;957;1618.0;128.0;231.0;1359;875.0;1792.0;34.0;1299.0
35;SP;2010;678.0;281;2671.0;3336.0;2219.0;232.0;538.0;2389;5355.0;223.0;2911.0;3469;1793.0;6039.0;424.0;2442.0
35;SP;2011;580.0;201;2505.0;3189.0;2293.0;192.0;568.0;2304;5257.0;179.0;2808.0;3262;1643.0;5842.0;380.0;2473.0
11;RO;2011;48.0;19;187.0;116.0;290.0;22.0;263.0;168;401.0;31.0;102.0;286;130.0;450.0;14.0;321.0
12;AC;2011;18.0;9;73.0;16.0;88.0;5.0;45.0;64;146.0;11.0;12.0;50;26.0;164.0;4.0;99.0
13;AM;2011;81.0;29;791.0;146.0;1065.0;32.0;1968.0;762;1210.0;66.0;131.0;879;590.0;1292.0;15.0;1131.0
14;RR;2011;10.0;4;39.0;15.0;65.0;0.0;1413.0;35;84.0;9.0;14.0;25;10.0;95.0;1.0;74.0
15;PA;2011;186.0;79;1758.0;245.0;2629.0;106.0;493.0;1679;2881.0;154.0;217.0;2077;1292.0;3073.0;27.0;2787.0
16;AP;2011;19.0;10;122.0;27.0;163.0;9.0;25.0;112;190.0;16.0;24.0;80;53.0;209.0;3.0;179.0
17;TO;2011;49.0;23;160.0;62.0;252.0;13.0;613.0;137;311.0;36.0;51.0;158;78.0;361.0;11.0;288.0
21;MA;2011;131.0;55;820.0;204.0;1255.0;51.0;744.0;765;1460.0;109.0;184.0;944;515.0;1591.0;20.0;1364.0
22;PI;2011;32.0;11;223.0;55.0;327.0;10.0;3228.0;212;408.0;28.0;51.0;251;147.0;440.0;4.0;355.0
23;CE;2011;189.0;83;1568.0;275.0;1541.0;119.0;145.0;1485;2603.0;106.0;251.0;2063;1257.0;2792.0;24.0;1647.0
24;RN;2011;76.0;37;596.0;151.0;757.0;44.0;2222.0;559;978.0;56.0;140.0;788;481.0;1054.0;11.0;813.0
25;PB;2011;140.0;68;915.0;83.0;1324.0;108.0;3913.0;847;1474.0;117.0;65.0;1379;820.0;1614.0;18.0;1441.0
26;PE;2011;261.0;116;1928.0;222.0;2790.0;143.0;1247.0;1810;3202.0;223.0;200.0;2541;1538.0;3471.0;21.0;3013.0
27;AL;2011;138.0;61;1321.0;74.0;1899.0;94.0;847.0;1260;2106.0;114.0;67.0;1913;1178.0;2244.0;7.0;2013.0
28;SE;2011;60.0;28;371.0;58.0;621.0;30.0;1446.0;343;671.0;50.0;49.0;523;292.0;731.0;9.0;671.0
29;BA;2011;449.0;204;3221.0;415.0;4402.0;250.0;71.0;3017;5089.0;375.0;374.0;4170;2636.0;5549.0;40.0;4780.0
31;MG;2011;457.0;192;2250.0;1226.0;2622.0;220.0;1819.0;2058;3804.0;283.0;1061.0;3000;1831.0;4262.0;165.0;2906.0
32;ES;2011;167.0;87;1005.0;241.0;1105.0;105.0;241.0;918;1505.0;104.0;201.0;1352;887.0;1672.0;40.0;1209.0
33;RJ;2011;366.0;145;2409.0;1448.0;2933.0;177.0;3068.0;2264;4403.0;223.0;1319.0;3411;1818.0;4781.0;127.0;3161.0
41;PR;2011;283.0;118;1786.0;2660.0;599.0;139.0;2779.0;1668;3086.0;55.0;2440.0;2365;1410.0;3376.0;220.0;654.0
42;SC;2011;74.0;34;389.0;675.0;123.0;33.0;333.0;355;737.0;5.0;607.0;483;273.0;811.0;68.0;128.0
43;RS;2011;202.0;92;1018.0;1605.0;427.0;114.0;450.0;926;1869.0;21.0;1424.0;1531;829.0;2077.0;180.0;448.0
50;MS;2011;78.0;33;307.0;252.0;376.0;35.0;2393.0;274;595.0;40.0;214.0;368;194.0;673.0;38.0;416.0
51;MT;2011;87.0;35;474.0;254.0;679.0;34.0;1271.0;439;920.0;60.0;227.0;602;320.0;1009.0;27.0;740.0
52;GO;2011;262.0;103;1201.0;459.0;1537.0;129.0;1944.0;1098;2005.0;182.0;392.0;1579;941.0;2272.0;67.0;1721.0
53;DF;2011;79.0;38;493.0;110.0;723.0;44.0;893.0;455;823.0;61.0;94.0;657;405.0;902.0;16.0;784.0
35;SP;2012;640.0;218;2875.0;3520.0;2627.0;205.0;604.0;2657;5920.0;257.0;3150.0;3848;1957.0;6566.0;370.0;2885.0
53;DF;2012;77.0;37;517.0;94.0;785.0;42.0;1111.0;480;875.0;63.0;83.0;725;432.0;954.0;11.0;849.0
52;GO;2012;247.0;124;1518.0;578.0;1963.0;133.0;2992.0;1394;2540.0;171.0;511.0;1955;1195.0;2793.0;67.0;2134.0
51;MT;2012;100.0;46;544.0;253.0;732.0;37.0;1135.0;498;972.0;62.0;218.0;641;375.0;1074.0;35.0;794.0
50;MS;2012;77.0;24;291.0;228.0;402.0;13.0;2358.0;267;606.0;45.0;196.0;337;175.0;683.0;32.0;447.0
43;RS;2012;247.0;108;1149.0;1819.0;475.0;135.0;454.0;1041;2135.0;39.0;1617.0;1737;918.0;2382.0;202.0;514.0
42;SC;2012;104.0;39;407.0;638.0;156.0;37.0;324.0;368;717.0;18.0;553.0;491;284.0;821.0;85.0;174.0
41;PR;2012;321.0;138;1870.0;2657.0;690.0;166.0;3012.0;1732;3162.0;68.0;2408.0;2433;1476.0;3489.0;248.0;758.0
11;RO;2012;51.0;23;230.0;137.0;338.0;26.0;312.0;207;475.0;36.0;124.0;338;164.0;526.0;13.0;374.0
12;AC;2012;16.0;6;101.0;18.0;157.0;4.0;81.0;95;192.0;14.0;17.0;85;45.0;208.0;1.0;171.0
13;AM;2012;118.0;48;732.0;150.0;1094.0;52.0;2013.0;684;1225.0;89.0;121.0;855;508.0;1344.0;28.0;1183.0
14;RR;2012;17.0;5;70.0;42.0;93.0;3.0;1602.0;65;126.0;7.0;31.0;32;17.0;144.0;10.0;100.0
15;PA;2012;232.0;114;1799.0;248.0;2738.0;119.0;618.0;1684;2993.0;202.0;221.0;2138;1310.0;3236.0;27.0;2942.0
16;AP;2012;17.0;8;164.0;21.0;200.0;6.0;29.0;156;236.0;15.0;19.0;117;81.0;253.0;2.0;215.0
17;TO;2012;49.0;17;182.0;59.0;266.0;18.0;682.0;165;330.0;40.0;50.0;178;97.0;379.0;9.0;306.0
21;MA;2012;114.0;42;952.0;188.0;1459.0;41.0;824.0;910;1662.0;96.0;172.0;1152;653.0;1777.0;16.0;1555.0
22;PI;2012;46.0;20;269.0;50.0;413.0;18.0;3281.0;249;479.0;40.0;45.0;311;181.0;525.0;5.0;453.0
23;CE;2012;219.0;94;2329.0;249.0;1811.0;142.0;160.0;2235;3621.0;110.0;223.0;3135;2031.0;3841.0;26.0;1921.0
24;RN;2012;64.0;24;649.0;191.0;819.0;32.0;2262.0;625;1060.0;42.0;175.0;856;542.0;1124.0;16.0;861.0
25;PB;2012;137.0;59;901.0;89.0;1176.0;89.0;4329.0;842;1388.0;119.0;81.0;1224;767.0;1525.0;8.0;1295.0
26;PE;2012;216.0;95;1815.0;182.0;2805.0;116.0;1229.0;1719;3106.0;185.0;161.0;2475;1448.0;3327.0;21.0;2991.0
27;AL;2012;133.0;65;1231.0;85.0;1789.0;100.0;803.0;1166;1913.0;116.0;73.0;1737;1099.0;2046.0;12.0;1905.0
28;SE;2012;62.0;23;474.0;74.0;748.0;30.0;1820.0;451;817.0;52.0;65.0;648;385.0;879.0;9.0;800.0
29;BA;2012;437.0;202;3662.0;437.0;4989.0;262.0;111.0;3460;5702.0;368.0;395.0;4594;2930.0;6148.0;42.0;5358.0
31;MG;2012;460.0;216;2512.0;1250.0;2896.0;216.0;1637.0;2296;4100.0;303.0;1102.0;3228;2031.0;4562.0;148.0;3200.0
32;ES;2012;163.0;82;969.0;192.0;1205.0;106.0;293.0;887;1504.0;137.0;175.0;1335;866.0;1667.0;17.0;1342.0
